Jahr;Monat,brandenburg/berlin,brandenburg,baden-wuerttemberg,bayern,hessen,mecklenburg-vorpommern,niedersachsen,niedersachsen/hamburg/bremen,nordrhein-westfalen,rheinland-pfalz,schleswig-holstein,saarland,sachsen,sachsen-anhalt,thueringen/sachsen-anhalt,thueringen,deutschland
201112,4.43,4.42,3.47,2.53,3.72,4.20,4.92,4.92,4.89,4.15,4.48,4.36,3.49,4.53,3.97,3.27,3.90
201212,0.45,0.44,1.64,0.45,2.16,0.17,2.55,2.54,3.48,2.79,0.98,3.15,0.41,1.49,1.33,1.11,1.49
201312,4.05,4.04,2.26,1.50,3.62,4.51,5.04,5.05,4.94,3.72,5.02,3.75,3.43,4.37,3.91,3.30,3.56
201412,2.61,2.61,2.67,2.07,2.56,2.62,3.47,3.47,3.56,2.91,3.46,3.11,2.20,2.81,2.41,1.89,2.73
201512,6.83,6.82,5.14,4.28,6.48,6.90,8.27,8.26,8.41,6.94,7.70,6.92,6.27,7.29,6.74,6.03,6.49
201612,2.78,2.77,0.68,0.16,1.56,3.65,3.84,3.85,3.59,1.81,4.57,1.46,1.82,2.95,2.22,1.28,2.16
201712,3.40,3.39,1.66,0.93,2.70,3.57,3.94,3.95,3.81,2.89,4.00,3.04,2.40,3.50,2.96,2.25,2.71
201812,4.30,4.29,3.17,2.34,3.73,4.46,5.21,5.21,4.98,3.94,5.16,3.98,3.28,4.58,4.03,3.30,3.90
201912,4.10,4.09,3.01,2.28,3.39,4.22,4.86,4.87,4.90,3.96,4.97,4.25,3.75,4.23,3.78,3.19,3.75
202012,3.14,3.14,2.41,1.31,3.14,3.16,4.40,4.40,4.67,3.75,4.10,4.11,2.88,3.50,3.04,2.45,3.08
202112,1.79,1.78,2.76,1.66,2.97,1.72,3.31,3.31,4.25,3.71,2.72,3.97,1.82,2.51,2.27,1.96,2.58
202212,1.56,1.55,1.95,1.10,1.85,1.20,2.32,2.32,2.92,2.52,2.15,3.02,1.43,1.66,1.41,1.07,1.80
188203,6.44,6.42,5.88,4.87,6.07,5.57,6.53,6.53,6.85,6.25,5.81,6.84,5.93,6.55,6.20,5.76,5.96
188303,-2.16,-2.18,-0.81,-2.37,-1.48,-2.23,-1.17,-1.16,-0.46,-0.74,-1.06,-0.01,-3.02,-2.02,-2.41,-2.90,-1.66
188403,4.44,4.43,5.01,3.73,5.07,3.91,5.21,5.21,5.86,5.33,4.42,5.93,4.10,4.79,4.53,4.19,4.65
188503,2.48,2.47,2.85,1.69,2.61,1.99,2.94,2.94,3.25,2.84,2.57,3.59,1.97,2.63,2.34,1.98,2.46
188603,-0.30,-0.30,1.34,-0.39,0.50,-0.69,0.79,0.78,2.10,1.31,0.02,2.00,-0.46,0.10,-0.11,-0.36,0.38
188703,1.57,1.56,1.00,0.01,0.93,1.26,1.78,1.79,1.80,1.15,1.89,1.70,0.49,1.60,1.15,0.59,1.09
188803,-0.19,-0.19,2.07,0.78,1.21,-1.16,0.46,0.44,1.71,1.94,-1.07,2.13,0.29,0.36,0.31,0.26,0.69
188903,0.22,0.20,0.30,-1.20,0.66,-0.04,1.35,1.35,1.79,1.21,0.59,1.49,-0.54,0.65,0.22,-0.32,0.30
189003,4.99,4.97,3.66,2.81,4.08,4.29,4.86,4.86,5.00,4.34,4.15,4.71,4.00,4.82,4.32,3.69,4.11
189103,3.08,3.07,3.04,2.00,2.83,1.92,2.56,2.56,3.19,3.15,1.52,3.36,2.56,3.05,2.71,2.29,2.59
189203,0.69,0.67,0.76,-0.30,0.67,0.29,0.89,0.89,1.27,1.08,0.72,1.31,-0.21,0.73,0.31,-0.23,0.50
189303,4.18,4.17,4.58,3.43,4.78,3.56,4.74,4.74,5.57,5.29,3.78,5.69,3.67,4.70,4.40,4.02,4.33
189403,4.95,4.93,4.51,3.49,4.85,4.47,5.44,5.44,5.70,5.06,5.00,5.41,4.01,5.10,4.68,4.15,4.65
189503,1.59,1.57,1.31,0.17,1.32,1.11,2.30,2.30,2.52,1.85,1.56,2.10,0.84,1.63,1.14,0.53,1.35
189603,5.49,5.47,5.75,4.43,5.69,4.76,5.52,5.52,6.24,6.08,4.64,6.33,4.80,5.57,5.25,4.85,5.29
189703,4.99,4.98,5.79,4.43,5.26,4.14,5.16,5.16,5.66,5.70,4.06,5.98,4.73,5.33,5.05,4.69,5.01
189803,3.55,3.54,2.87,2.27,3.02,2.54,3.01,3.01,3.06,3.06,2.21,3.29,3.18,3.46,3.07,2.59,2.86
189903,2.63,2.61,3.36,1.90,2.60,1.91,2.82,2.82,3.29,3.14,2.09,3.61,2.09,2.84,2.42,1.89,2.56
190003,0.61,0.59,0.45,-0.83,0.84,0.39,1.46,1.47,1.90,1.37,0.97,1.43,-0.18,0.97,0.50,-0.10,0.56
190103,2.35,2.33,1.95,1.63,2.43,1.62,2.60,2.60,2.84,2.75,1.90,2.86,1.45,2.39,1.97,1.45,2.13
190203,3.14,3.13,3.81,2.72,3.81,2.29,3.75,3.75,4.53,4.48,2.84,4.83,2.87,3.55,3.29,2.98,3.40
190303,6.13,6.11,5.35,4.70,5.65,5.54,6.44,6.44,6.68,5.76,5.77,5.88,5.43,6.41,5.92,5.30,5.70
190403,3.00,2.99,3.48,3.09,3.05,2.23,3.17,3.17,3.33,3.27,2.40,3.40,2.77,3.15,2.87,2.50,3.04
190503,4.48,4.47,4.80,3.93,4.82,3.66,4.77,4.78,5.39,5.31,4.17,5.66,4.34,4.71,4.45,4.11,4.53
190603,2.67,2.65,2.14,1.44,2.08,1.90,2.83,2.83,3.02,2.53,2.25,2.95,1.81,2.78,2.20,1.48,2.23
190703,2.93,2.91,2.30,1.35,3.00,2.31,3.40,3.40,3.91,3.35,2.82,3.74,2.08,3.17,2.72,2.16,2.63
190803,2.99,2.98,2.14,1.51,2.31,2.21,2.90,2.91,2.89,2.53,2.36,2.73,2.34,2.81,2.31,1.68,2.34
190903,1.07,1.06,1.86,1.14,2.07,-0.03,1.85,1.85,2.71,2.48,0.77,2.77,1.23,1.55,1.38,1.18,1.53
191003,3.76,3.75,3.55,2.93,3.73,3.48,4.34,4.35,4.70,3.86,4.32,4.35,3.30,3.72,3.48,3.18,3.70
191103,4.06,4.05,3.89,3.53,4.29,3.11,4.28,4.28,4.92,4.37,3.32,4.56,3.78,4.28,3.98,3.61,3.97
191203,6.04,6.02,6.28,5.44,6.21,5.24,6.39,6.39,6.84,6.53,5.34,6.90,5.77,6.37,6.10,5.76,6.02
191303,6.22,6.21,6.06,5.36,6.35,5.18,6.20,6.20,6.86,6.53,5.25,6.80,5.94,6.43,6.13,5.76,5.99
191403,4.86,4.85,4.62,3.94,4.79,4.19,5.05,5.05,5.37,5.14,4.39,5.42,4.47,5.20,4.78,4.24,4.65
191503,0.80,0.79,2.15,1.42,2.23,0.26,2.19,2.19,2.87,2.96,1.37,3.17,0.81,1.65,1.47,1.24,1.73
191603,3.88,3.87,4.26,4.56,4.42,2.39,3.13,3.12,4.42,4.58,2.02,4.57,4.59,3.84,3.86,3.89,3.94
